berg_id,date,lat,lon,size_1,size_2,gap_days,u_berg,v_berg,u_wind,v_wind,u_curr,v_curr,prev_u,prev_v,prev_speed
b34,2015-10-16,-75.9,-154.0333,15.0,5.0,7,-0.0224199926521329,-0.021335183531745,4.389892578125,2.676422119140625,-0.0189214758574962,0.032349620014429,-0.1007729475057029,-0.0365641534391539,0.10720132585798155
b15k,2015-10-16,-65.4,-57.7167,16.0,3.0,7,-0.0038310497515232,0.0121941451719597,0.205322265625,-0.800140380859375,0.0274666585028171,-0.0030518509447574,0.0115004656000257,-0.0030531068121693,0.011898830624220562
d21a,2015-10-16,-69.5333,-0.7167,21.0,5.0,7,-0.1566053764361444,-0.1157986739418005,-1.503662109375,3.088531494140625,-0.0225836969912052,0.0122074037790298,-0.3333623550176216,0.1005514219576714,0.3481968526575226
b16,2015-10-16,-74.55,-28.6667,16.0,6.0,7,-0.0049033321434776,0.0152289699074063,0.726806640625,2.766265869140625,-0.0341807305812835,0.0225836969912052,-0.0089359098777986,0.0182820767195782,0.020349074045879382
b15x,2015-10-16,-60.0167,-51.5167,10.0,7.0,7,0.0827855627915124,0.1950149123677243,2.955322265625,2.338531494140625,0.3332621231675148,0.2606280706822872,0.116791024704423,0.0639872685185187,0.1331709952803919
b15z,2015-10-16,-73.3333,-21.9667,16.0,8.0,7,-0.1029392293660842,-0.0578993369709015,2.175048828125,-1.966156005859375,-0.0231940671801567,-0.0061037018895149,-0.1058358858802832,-0.0883572767857142,0.13787038514870276
c28b,2015-10-16,-74.4167,-27.8333,21.0,14.0,7,-0.0107149342852317,-0.0030348247354491,-0.510498046875,2.173492431640625,-0.0811792351305484,0.0457777641713619,-0.0237976034089027,0.0121758630952369,0.02673158375632408
a57,2015-10-16,-71.9667,-57.6,11.0,5.0,7,0.0075953885998935,0.0182820767195782,6.064697265625,2.171539306640625,-0.0048829615116119,0.0140385143458843,-0.006631699777234,0.0091410383597878,0.01129327340634581
a56,2015-10-16,-58.6,-50.4667,14.0,7.0,7,0.2189722919099537,-0.0609341617063494,-0.175537109375,3.625640869140625,0.2111880853772163,0.3381450846791267,0.0471694573240842,0.1036045287698407,0.11383697152449793
b30,2015-10-16,-73.9333,-131.6333,31.0,18.0,7,0.0161275982109305,-0.0121941451719571,-10.072998046875,1.886383056640625,-0.0244148075580596,-0.0201422162353992,-0.0101364945859407,0.0152472519841265,0.0183092112216298
b31,2015-10-16,-71.2833,-106.5333,18.0,11.0,7,0.0098399144752232,0.0060879315476184,-11.427490234375,-1.521820068359375,0.0341807305812835,-0.0268562883138656,0.021676963163513,-0.0030348247354491,0.021888373470114065
b15r,2015-10-16,-59.4,-27.4833,10.0,2.0,7,0.0452825972403495,0.0396172602513219,2.235595703125,-1.557952880859375,0.0128177739679813,0.0079348124563694,0.095487219206361,0.085322452050265,0.12805362101726528
b31,2015-10-23,-71.25,-106.3667,18.0,11.0,7,0.0660689079276415,-0.0487582986111111,-11.697998046875,-1.808929443359375,0.033570360392332,-0.0286873988807201,0.0098399144752232,0.0060879315476184,0.01157094755878681
b15r,2015-10-23,-59.1833,-27.0,10.0,2.0,7,0.0062893511601829,0.0121758630952382,2.430908203125,-1.894866943359375,0.0195318460464477,0.0164799951016902,0.0452825972403495,0.0396172602513219,0.06016677590375504
a57,2015-10-23,-71.8667,-57.4667,11.0,5.0,7,-0.0038151835687569,-0.0121758630952395,6.061767578125,2.320953369140625,-0.0079348124563694,0.0085451826453208,0.0075953885998935,0.0182820767195782,0.019797076985351533
b15z,2015-10-23,-73.65,-23.9167,16.0,8.0,7,-0.0440418146046089,-0.0060879315476184,1.515869140625,2.669586181640625,-0.0537125766277313,-0.0048829615116119,-0.1029392293660842,-0.0578993369709015,0.11810511489412003
c28b,2015-10-23,-74.4333,-28.05,21.0,14.0,7,-0.0197578267994977,0.0152289699074089,-0.376708984375,2.190093994140625,-0.0787377543747425,0.0524918362498283,-0.0107149342852317,-0.0030348247354491,0.011136425724249565
b30,2015-10-23,-74.0,-131.3167,31.0,18.0,7,0.0033839608051997,0.0030531068121693,-10.096435546875,1.948883056640625,-0.0286873988807201,-0.0274666585028171,0.0161275982109305,-0.0121941451719571,0.0202187190624919
b16,2015-10-23,-74.4667,-28.7667,16.0,6.0,7,-0.0147873593880128,0.0243882903439169,0.726806640625,2.766265869140625,-0.0604266487061977,0.0341807305812835,-0.0049033321434776,0.0152289699074063,0.015998880915549914
a56,2015-10-23,-58.9333,-48.1833,14.0,7.0,7,0.2754476445961311,0.0213169014550274,0.917236328125,4.872711181640625,0.0280770286917686,-0.1519821770489215,0.2189722919099537,-0.0609341617063494,0.22729240349636304
b15k,2015-10-23,-65.3333,-57.7667,16.0,3.0,7,0.0076815766545431,-0.0030531068121693,-0.569091796875,-0.297210693359375,0.0207525864243507,0.0054933317005634,-0.0038310497515232,0.0121941451719597,0.01278178855534209
d21a,2015-10-23,-70.1667,-3.15,21.0,5.0,7,-0.0166551559580451,0.0091410383597904,1.090087890625,0.654937744140625,-0.0201422162353992,0.0189214758574962,-0.1566053764361444,-0.1157986739418005,0.19476800767935662
b15x,2015-10-23,-58.95,-50.6167,10.0,7.0,7,0.1613911814402375,0.0517931233465615,0.385986328125,3.576812744140625,0.1568651385605335,0.1458784751594066,0.0827855627915124,0.1950149123677243,0.21185906979050634
b34,2015-10-23,-76.0167,-154.5333,15.0,5.0,7,-0.0422524777647511,0.0365641534391539,4.647705078125,3.402984619140625,-0.0341807305812835,0.0378429517149925,-0.0224199926521329,-0.021335183531745,0.03094908927343317
b15z,2015-10-30,-73.6833,-24.7667,16.0,8.0,7,-0.0499840862158944,-0.0182820767195756,1.256103515625,2.438140869140625,-0.0592059083282947,-0.0146488845348358,-0.0440418146046089,-0.0060879315476184,0.04446059316063192
b16,2015-10-30,-74.3333,-29.0667,16.0,6.0,7,-0.0132510743068141,0.0,1.582275390625,3.283843994140625,-0.0616473890841007,0.0427259132266044,-0.0147873593880128,0.0243882903439169,0.02852112731940027
c28b,2015-10-30,-74.35,-28.45,21.0,14.0,7,-0.0157248825894115,0.0060879315476184,0.903564453125,2.893218994140625,-0.0610370188951492,0.0482192449271678,-0.0197578267994977,0.0152289699074089,0.024945806146118337
b31,2015-10-30,-71.5167,-105.25,18.0,11.0,7,-0.0534917232991039,-0.0395989781746031,-13.343505859375,-3.269866943359375,0.0451673939824104,-0.0421155430376529,0.0660689079276415,-0.0487582986111111,0.08211255859003207
b34,2015-10-30,-75.8167,-155.4833,15.0,5.0,7,-0.0962152182272421,-0.0243700082671967,6.150634765625,5.536773681640625,-0.0274666585028171,0.0427259132266044,-0.0422524777647511,0.0365641534391539,0.05587673213407148
b15r,2015-10-30,-59.1167,-26.9333,10.0,2.0,7,0.066133759954618,0.0213351835317463,2.494384765625,-1.877288818359375,0.0140385143458843,0.0128177739679813,0.0062893511601829,0.0121758630952382,0.013704290573761107
d21a,2015-10-30,-70.1167,-3.4167,21.0,5.0,7,-0.0542492472897835,-0.0304579398148152,0.055908203125,1.013336181640625,-0.0555436871945858,-0.0036622211337089,-0.0166551559580451,0.0091410383597904,0.018998757914189146
